Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
06/10/2022,ProShares UltraShort QQQ,QID,25.3081,23.6251,7.12378,1.683,17045.77,431396152.9694
06/09/2022,ProShares UltraShort QQQ,QID,23.6251,22.397,5.48332,1.2281,17045.77,402708115.3274
06/08/2022,ProShares UltraShort QQQ,QID,22.397,22.0613,1.52167,0.3357,17495.77,391852850.278
06/07/2022,ProShares UltraShort QQQ,QID,22.0613,22.46,-1.77516,-0.3987,17445.77,384876453.9462
06/06/2022,ProShares UltraShort QQQ,QID,22.46,22.6478,-0.82922,-0.1878,17495.77,392955084.04
06/03/2022,ProShares UltraShort QQQ,QID,22.6478,21.4967,5.35478,1.1511,17895.77,405299910.3972
06/02/2022,ProShares UltraShort QQQ,QID,21.4967,22.7489,-5.50444,-1.2522,17545.77,377176239.9458
06/01/2022,ProShares UltraShort QQQ,QID,22.7489,22.4188,1.47242,0.3301,16945.77,385497718.1486
05/31/2022,ProShares UltraShort QQQ,QID,22.4188,22.2829,0.60988,0.1359,16295.77,365331698.1512
05/27/2022,ProShares UltraShort QQQ,QID,22.2829,23.8567,-6.59689,-1.5738,15945.77,355318087.4646
05/26/2022,ProShares UltraShort QQQ,QID,23.8567,25.2607,-5.55804,-1.404,16795.77,400691741.5858
05/25/2022,ProShares UltraShort QQQ,QID,25.2607,26.0309,-2.95879,-0.7702,16895.77,426799078.2818
05/24/2022,ProShares UltraShort QQQ,QID,26.0309,24.9339,4.39963,1.097,16695.77,434606023.4166
05/23/2022,ProShares UltraShort QQQ,QID,24.9339,25.8,-3.35698,-0.8661,16395.77,408810589.3386
05/20/2022,ProShares UltraShort QQQ,QID,25.8,25.626,0.67900,0.174,16045.77,413980969.2
05/19/2022,ProShares UltraShort QQQ,QID,25.626,25.4004,0.88817,0.2256,16045.77,411189004.524
05/18/2022,ProShares UltraShort QQQ,QID,25.4004,23.0757,10.07423,2.3247,16495.77,418999257.9096
05/17/2022,ProShares UltraShort QQQ,QID,23.0757,24.3487,-5.22821,-1.273,16145.77,372575037.0918
05/16/2022,ProShares UltraShort QQQ,QID,24.3487,23.8012,2.30030,0.5475,16045.77,390693737.3938
05/13/2022,ProShares UltraShort QQQ,QID,23.8012,25.7035,-7.40094,-1.9023,15595.77,371198136.1288
05/12/2022,ProShares UltraShort QQQ,QID,25.7035,25.6121,0.35686,0.0914,15695.77,403436327.009
05/11/2022,ProShares UltraShort QQQ,QID,25.6121,24.1339,6.12499,1.4782,14645.77,375109028.2654
05/10/2022,ProShares UltraShort QQQ,QID,24.1339,24.7755,-2.58966,-0.6416,14295.77,345012780.1386
05/09/2022,ProShares UltraShort QQQ,QID,24.7755,22.9489,7.95942,1.8266,15195.77,376482898.737
05/06/2022,ProShares UltraShort QQQ,QID,22.9489,22.4113,2.39879,0.5376,15945.77,365937972.9486
05/05/2022,ProShares UltraShort QQQ,QID,22.4113,20.3541,10.10705,2.0572,16345.77,366330044.8462
05/04/2022,ProShares UltraShort QQQ,QID,20.3541,21.8411,-6.80827,-1.487,16395.77,333721223.5734
05/03/2022,ProShares UltraShort QQQ,QID,21.8411,21.8902,-0.22430,-0.0491,16295.77,355917629.5114
05/02/2022,ProShares UltraShort QQQ,QID,21.8902,22.672,-3.44831,-0.7818,16295.77,356717752.0148
04/29/2022,ProShares UltraShort QQQ,QID,22.672,20.8111,8.94186,1.8609,17045.77,386461788.128
04/28/2022,ProShares UltraShort QQQ,QID,20.8111,22.3663,-6.95332,-1.5552,16595.77,345376312.2914
04/27/2022,ProShares UltraShort QQQ,QID,22.3663,22.3456,0.09264,0.0207,16745.77,374541005.0162
04/26/2022,ProShares UltraShort QQQ,QID,22.3456,20.7413,7.73481,1.6043,17895.77,399891807.4944
04/25/2022,ProShares UltraShort QQQ,QID,20.7413,21.3055,-2.64814,-0.5642,18845.77,390885852.2662
04/22/2022,ProShares UltraShort QQQ,QID,21.3055,20.2314,5.30907,1.0741,18395.77,391931162.957
04/21/2022,ProShares UltraShort QQQ,QID,20.2314,19.4571,3.97952,0.7743,18795.77,380264822.1036
04/20/2022,ProShares UltraShort QQQ,QID,19.4571,18.8939,2.98086,0.5632,17795.77,346254154.2954
04/19/2022,ProShares UltraShort QQQ,QID,18.8939,19.7446,-4.30852,-0.8507,18345.77,346623219.3786
04/18/2022,ProShares UltraShort QQQ,QID,19.7446,19.7953,-0.25612,-0.0507,18245.77,360255509.3204
