Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
05/04/2022,ProShares Ultra QQQ,QLD,58.8706,55.1212,6.80210,3.7494,68450,4029692570
05/03/2022,ProShares Ultra QQQ,QLD,55.1212,55.004,0.21308,0.1172,68300,3764777960
05/02/2022,ProShares Ultra QQQ,QLD,55.004,53.1829,3.42422,1.8211,68650,3776024600
04/29/2022,ProShares Ultra QQQ,QLD,53.1829,58.4041,-8.93978,-5.2212,72700,3866396830
04/28/2022,ProShares Ultra QQQ,QLD,58.4041,54.6061,6.95527,3.798,72700,4245978070
04/27/2022,ProShares Ultra QQQ,QLD,54.6061,54.6675,-0.11232,-0.0614,72550,3961672555
04/26/2022,ProShares Ultra QQQ,QLD,54.6675,59.2466,-7.72888,-4.5791,72350,3955193625
04/25/2022,ProShares Ultra QQQ,QLD,59.2466,57.7272,2.63203,1.5194,72650,4304265490
04/22/2022,ProShares Ultra QQQ,QLD,57.7272,60.9665,-5.31325,-3.2393,72850,4205426520
04/21/2022,ProShares Ultra QQQ,QLD,60.9665,63.4998,-3.98946,-2.5333,73000,4450554500
04/20/2022,ProShares Ultra QQQ,QLD,63.4998,65.445,-2.97227,-1.9452,73000,4635485400
04/19/2022,ProShares Ultra QQQ,QLD,65.445,62.7393,4.31261,2.7057,72950,4774212750
04/18/2022,ProShares Ultra QQQ,QLD,62.7393,62.5938,0.23245,0.1455,72850,4570558005
04/14/2022,ProShares Ultra QQQ,QLD,62.5938,65.5898,-4.56778,-2.996,72700,4550569260
04/13/2022,ProShares Ultra QQQ,QLD,65.5898,63.0869,3.96738,2.5029,73400,4814291320
04/12/2022,ProShares Ultra QQQ,QLD,63.0869,63.55,-0.72872,-0.4631,73400,4630578460
04/11/2022,ProShares Ultra QQQ,QLD,63.55,66.6897,-4.70792,-3.1397,73300,4658215000
04/08/2022,ProShares Ultra QQQ,QLD,66.6897,68.6241,-2.81883,-1.9344,73350,4891689495
04/07/2022,ProShares Ultra QQQ,QLD,68.6241,68.322,0.44217,0.3021,73200,5023284120
04/06/2022,ProShares Ultra QQQ,QLD,68.322,71.4282,-4.34870,-3.1062,74250,5072908500
04/05/2022,ProShares Ultra QQQ,QLD,71.4282,74.7452,-4.43774,-3.317,74300,5307115260
04/04/2022,ProShares Ultra QQQ,QLD,74.7452,71.8625,4.01141,2.8827,74550,5572254660
04/01/2022,ProShares Ultra QQQ,QLD,71.8625,71.6795,0.25530,0.183,73600,5289080000
03/31/2022,ProShares Ultra QQQ,QLD,71.6795,73.936,-3.05196,-2.2565,71650,5135836175
03/30/2022,ProShares Ultra QQQ,QLD,73.936,75.5993,-2.20015,-1.6633,71250,5267940000
03/29/2022,ProShares Ultra QQQ,QLD,75.5993,73.1422,3.35935,2.4571,71200,5382670160
03/28/2022,ProShares Ultra QQQ,QLD,73.1422,70.9122,3.14473,2.23,71000,5193096200
03/25/2022,ProShares Ultra QQQ,QLD,70.9122,71.0248,-0.15854,-0.1126,71000,5034766200
03/24/2022,ProShares Ultra QQQ,QLD,71.0248,68.036,4.39297,2.9888,71150,5053414520
03/23/2022,ProShares Ultra QQQ,QLD,68.036,70.0161,-2.82806,-1.9801,71050,4833957800
