Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
10/27/2022,ProShares UltraShort S&P500,SDS,47.7175,47.1201,1.26782,0.5974,19556.25,933175311.6575
10/26/2022,ProShares UltraShort S&P500,SDS,47.1201,46.4225,1.50272,0.6976,19456.25,916780398.5049
10/25/2022,ProShares UltraShort S&P500,SDS,46.4225,47.9703,-3.22658,-1.5478,19906.25,924097844.2025
10/24/2022,ProShares UltraShort S&P500,SDS,47.9703,49.1297,-2.35988,-1.1594,20456.25,981292401.4047
10/21/2022,ProShares UltraShort S&P500,SDS,49.1297,51.5603,-4.71409,-2.4306,20456.25,1005009376.4953
10/20/2022,ProShares UltraShort S&P500,SDS,51.5603,50.7316,1.63350,0.8287,20406.25,1052152320.3147
10/19/2022,ProShares UltraShort S&P500,SDS,50.7316,50.0567,1.34827,0.6749,20756.25,1052997721.7684
10/18/2022,ProShares UltraShort S&P500,SDS,50.0567,51.225,-2.28072,-1.1683,20956.25,1049000669.3183
10/17/2022,ProShares UltraShort S&P500,SDS,51.225,54.0743,-5.26923,-2.8493,21406.25,1096535105.025
10/14/2022,ProShares UltraShort S&P500,SDS,54.0743,51.6266,4.74116,2.4477,21256.25,1149416785.3007
10/13/2022,ProShares UltraShort S&P500,SDS,51.6266,54.4369,-5.16249,-2.8103,20756.25,1071574564.6234
10/12/2022,ProShares UltraShort S&P500,SDS,54.4369,54.075,0.66926,0.3619,21206.25,1154402456.1881
10/11/2022,ProShares UltraShort S&P500,SDS,54.075,53.3671,1.32647,0.7079,20756.25,1122394164.675
10/10/2022,ProShares UltraShort S&P500,SDS,53.3671,52.5795,1.49792,0.7876,19906.25,1062338781.0079
10/07/2022,ProShares UltraShort S&P500,SDS,52.5795,49.779,5.62587,2.8005,18306.25,962533419.2955
10/06/2022,ProShares UltraShort S&P500,SDS,49.779,48.7686,2.07182,1.0104,20006.25,995891068.971
10/05/2022,ProShares UltraShort S&P500,SDS,48.7686,48.5701,0.40869,0.1985,20056.25,978115184.9814
10/04/2022,ProShares UltraShort S&P500,SDS,48.5701,51.7324,-6.11280,-3.1623,21006.25,1020275614.5549
10/03/2022,ProShares UltraShort S&P500,SDS,51.7324,54.5386,-5.14535,-2.8062,22056.25,1141022695.7676
09/30/2022,ProShares UltraShort S&P500,SDS,54.5386,52.9402,3.01926,1.5984,21656.25,1181101501.7114
09/29/2022,ProShares UltraShort S&P500,SDS,52.9402,50.7812,4.25157,2.159,21606.25,1143839143.3098
09/28/2022,ProShares UltraShort S&P500,SDS,50.7812,52.8522,-3.91847,-2.071,21606.25,1097191251.7188
09/27/2022,ProShares UltraShort S&P500,SDS,52.8522,52.6234,0.43479,0.2288,22156.25,1171006503.3978
09/26/2022,ProShares UltraShort S&P500,SDS,52.6234,51.5477,2.08681,1.0757,23106.25,1215929383.6266
09/23/2022,ProShares UltraShort S&P500,SDS,51.5477,49.8208,3.46622,1.7269,23456.25,1209115686.5773
09/22/2022,ProShares UltraShort S&P500,SDS,49.8208,48.9744,1.72825,0.8464,23456.25,1168609090.1792
09/21/2022,ProShares UltraShort S&P500,SDS,48.9744,47.352,3.42625,1.6224,23256.25,1138960841.0256
09/20/2022,ProShares UltraShort S&P500,SDS,47.352,46.3002,2.27170,1.0518,23106.25,1094127102.648
09/19/2022,ProShares UltraShort S&P500,SDS,46.3002,46.9392,-1.36134,-0.639,23306.25,1079083989.9498
09/16/2022,ProShares UltraShort S&P500,SDS,46.9392,46.2631,1.46142,0.6761,23406.25,1098670603.0608
09/15/2022,ProShares UltraShort S&P500,SDS,46.2631,45.2263,2.29247,1.0368,23206.25,1073593018.1119
09/14/2022,ProShares UltraShort S&P500,SDS,45.2263,45.552,-0.71501,-0.3257,22156.25,1002045164.1487
09/13/2022,ProShares UltraShort S&P500,SDS,45.552,41.9263,8.64779,3.6257,22956.25,1045703054.448
