Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/07/2022,ProShares UltraShort Dow30,DXD,50.2549,51.4025,-2.23258,-1.1476,2309.79,116078064.4514
07/06/2022,ProShares UltraShort Dow30,DXD,51.4025,51.6309,-0.44237,-0.2284,2309.79,118728774.865
07/05/2022,ProShares UltraShort Dow30,DXD,51.6309,51.2298,0.78294,0.4011,2309.79,119256329.9874
07/01/2022,ProShares UltraShort Dow30,DXD,51.2298,52.3138,-2.07211,-1.084,2309.79,118329874.8228
06/30/2022,ProShares UltraShort Dow30,DXD,52.3138,51.4643,1.65066,0.8495,2309.79,120833682.8468
06/29/2022,ProShares UltraShort Dow30,DXD,51.4643,51.7324,-0.51824,-0.2681,2309.79,118871519.6398
06/28/2022,ProShares UltraShort Dow30,DXD,51.7324,50.1588,3.13724,1.5736,2309.79,119490773.2664
06/27/2022,ProShares UltraShort Dow30,DXD,50.1588,49.9563,0.40535,0.2025,2309.79,115856094.0168
06/24/2022,ProShares UltraShort Dow30,DXD,49.9563,52.7799,-5.34976,-2.8236,2309.79,115388362.3518
06/23/2022,ProShares UltraShort Dow30,DXD,52.7799,53.4463,-1.24686,-0.6664,2309.79,121910274.1014
06/22/2022,ProShares UltraShort Dow30,DXD,53.4463,53.2749,0.32173,0.1714,2309.79,123449515.4918
06/21/2022,ProShares UltraShort Dow30,DXD,53.2749,55.6603,-4.28564,-2.3854,2259.79,120389873.1714
06/17/2022,ProShares UltraShort Dow30,DXD,55.6603,55.5113,0.26841,0.149,2359.79,131346396.6958
06/16/2022,ProShares UltraShort Dow30,DXD,55.5113,52.9725,4.79268,2.5388,2459.79,136545918.5818
06/15/2022,ProShares UltraShort Dow30,DXD,52.9725,54.049,-1.99171,-1.0765,2459.79,130301013.885
06/14/2022,ProShares UltraShort Dow30,DXD,54.049,53.5418,0.94730,0.5072,2459.79,132948973.514
06/13/2022,ProShares UltraShort Dow30,DXD,53.5418,50.7144,5.57514,2.8274,2309.79,123670100.0548
06/10/2022,ProShares UltraShort Dow30,DXD,50.7144,48.0907,5.45573,2.6237,2309.79,117139411.1184
06/09/2022,ProShares UltraShort Dow30,DXD,48.0907,46.3048,3.85684,1.7859,2309.79,111079225.5902
06/08/2022,ProShares UltraShort Dow30,DXD,46.3048,45.5625,1.62919,0.7423,2309.79,106954178.7728
06/07/2022,ProShares UltraShort Dow30,DXD,45.5625,46.3029,-1.59904,-0.7404,2309.79,105239624.625
06/06/2022,ProShares UltraShort Dow30,DXD,46.3029,46.3487,-0.09882,-0.0458,2309.79,106949790.1794
06/03/2022,ProShares UltraShort Dow30,DXD,46.3487,45.4251,2.03324,0.9236,2309.79,107055578.3782
06/02/2022,ProShares UltraShort Dow30,DXD,45.4251,46.6531,-2.63219,-1.228,2309.79,104922260.0286
06/01/2022,ProShares UltraShort Dow30,DXD,46.6531,46.1899,1.00282,0.4632,2359.79,110091332.2366
05/31/2022,ProShares UltraShort Dow30,DXD,46.1899,45.6169,1.25611,0.573,2359.79,108998279.3614
05/27/2022,ProShares UltraShort Dow30,DXD,45.6169,47.2944,-3.54693,-1.6775,2359.79,107646121.9834
05/26/2022,ProShares UltraShort Dow30,DXD,47.2944,48.8567,-3.19772,-1.5623,2359.79,111604662.9984
05/25/2022,ProShares UltraShort Dow30,DXD,48.8567,49.4491,-1.19800,-0.5924,2359.79,115291356.6662
05/24/2022,ProShares UltraShort Dow30,DXD,49.4491,49.5974,-0.29901,-0.1483,2359.79,116689293.8926
05/23/2022,ProShares UltraShort Dow30,DXD,49.5974,51.6665,-4.00472,-2.0691,2359.79,117039250.1564
05/20/2022,ProShares UltraShort Dow30,DXD,51.6665,51.6929,-0.05107,-0.0264,2359.79,121921883.369
05/19/2022,ProShares UltraShort Dow30,DXD,51.6929,50.959,1.44018,0.7339,2359.79,121984181.7194
05/18/2022,ProShares UltraShort Dow30,DXD,50.959,47.6016,7.05312,3.3574,2359.79,120252334.774
05/17/2022,ProShares UltraShort Dow30,DXD,47.6016,48.9066,-2.66835,-1.305,2359.79,112329589.2576
05/16/2022,ProShares UltraShort Dow30,DXD,48.9066,49.0262,-0.24395,-0.1196,2409.79,117854439.9876
05/13/2022,ProShares UltraShort Dow30,DXD,49.0262,50.5093,-2.93629,-1.4831,2409.79,118142650.3932
05/12/2022,ProShares UltraShort Dow30,DXD,50.5093,50.2037,0.60872,0.3056,2409.79,121716604.0098
05/11/2022,ProShares UltraShort Dow30,DXD,50.2037,49.1987,2.04274,1.005,2309.79,115959803.4082
05/10/2022,ProShares UltraShort Dow30,DXD,49.1987,48.9417,0.52511,0.257,2209.79,108718598.4782
05/09/2022,ProShares UltraShort Dow30,DXD,48.9417,47.1002,3.90975,1.8415,2259.79,110597768.4762
05/06/2022,ProShares UltraShort Dow30,DXD,47.1002,46.8228,0.59245,0.2774,2259.79,106436372.5572
05/05/2022,ProShares UltraShort Dow30,DXD,46.8228,44.083,6.21509,2.7398,2259.79,105809507.9208
05/04/2022,ProShares UltraShort Dow30,DXD,44.083,46.713,-5.63012,-2.63,2259.79,99618146.238
05/03/2022,ProShares UltraShort Dow30,DXD,46.713,46.9013,-0.40148,-0.1883,2259.79,105561383.418
05/02/2022,ProShares UltraShort Dow30,DXD,46.9013,47.1484,-0.52409,-0.2471,2259.79,105986901.1218
04/29/2022,ProShares UltraShort Dow30,DXD,47.1484,44.6728,5.54163,2.4756,2259.79,106545294.2424
04/28/2022,ProShares UltraShort Dow30,DXD,44.6728,46.3779,-3.67654,-1.7051,2259.79,100950968.0208
04/27/2022,ProShares UltraShort Dow30,DXD,46.3779,46.5534,-0.37699,-0.1755,2259.79,104804129.1294
04/26/2022,ProShares UltraShort Dow30,DXD,46.5534,44.4408,4.75374,2.1126,2259.79,105200721.5724
04/25/2022,ProShares UltraShort Dow30,DXD,44.4408,45.0777,-1.41289,-0.6369,2259.79,100426697.6688
04/22/2022,ProShares UltraShort Dow30,DXD,45.0777,42.6883,5.59732,2.3894,2259.79,101865955.3722
