Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
04/04/2022,ProShares Ultra Dow30,DDM,73.566,73.1331,0.59193,0.4329,6100,448752600
04/01/2022,ProShares Ultra Dow30,DDM,73.1331,72.5638,0.78455,0.5693,5950,435141945
03/31/2022,ProShares Ultra Dow30,DDM,72.5638,74.8941,-3.11146,-2.3303,5950,431754610
03/30/2022,ProShares Ultra Dow30,DDM,74.8941,75.1816,-0.38241,-0.2875,5900,441875190
03/29/2022,ProShares Ultra Dow30,DDM,75.1816,73.7579,1.93023,1.4237,5900,443571440
03/28/2022,ProShares Ultra Dow30,DDM,73.7579,73.3666,0.53335,0.3913,5900,435171610
03/25/2022,ProShares Ultra Dow30,DDM,73.3666,72.729,0.87668,0.6376,5900,432862940
03/24/2022,ProShares Ultra Dow30,DDM,72.729,71.2832,2.02825,1.4458,5900,429101100
03/23/2022,ProShares Ultra Dow30,DDM,71.2832,73.3114,-2.76655,-2.0282,5850,417006720
03/22/2022,ProShares Ultra Dow30,DDM,73.3114,72.2449,1.47623,1.0665,5800,425206120
03/21/2022,ProShares Ultra Dow30,DDM,72.2449,73.0964,-1.16490,-0.8515,5800,419020420
03/18/2022,ProShares Ultra Dow30,DDM,73.0964,71.9596,1.57978,1.1368,5800,423959120
03/17/2022,ProShares Ultra Dow30,DDM,71.9596,70.233,2.45839,1.7266,5800,417365680
03/16/2022,ProShares Ultra Dow30,DDM,70.233,68.1296,3.08735,2.1034,5800,407351400
03/15/2022,ProShares Ultra Dow30,DDM,68.1296,65.7405,3.63414,2.3891,5800,395151680
03/14/2022,ProShares Ultra Dow30,DDM,65.7405,65.7136,0.04094,0.0269,5800,381294900
03/11/2022,ProShares Ultra Dow30,DDM,65.7136,66.5998,-1.33063,-0.8862,5800,381138880
03/10/2022,ProShares Ultra Dow30,DDM,66.5998,67.0616,-0.68862,-0.4618,5800,386278840
03/09/2022,ProShares Ultra Dow30,DDM,67.0616,64.4112,4.11481,2.6504,5900,395663440
